,seed,seed,dcii Mod,dcii Mod,dcii Comp,dcii Comp,dcii Expl,dcii Expl
,mean,std,mean,std,mean,std,mean,std
case,,,,,,,,
"[False, False, False]",12.0,7.359800721939872,0.1270760532598489,0.0625339374920798,0.14399482635839628,0.07711811256232817,0.4397753,0.005804353989560419
"[False, False, True]",12.0,7.359800721939872,0.03885955998041025,0.016511054747789893,0.03932747500146143,0.01985337585816803,0.9099606,0.022886517240481852
"[False, True, False]",12.0,7.359800721939872,0.46183380506022204,0.0145694959069477,1.070960508269888,0.01813937947776534,0.37582904,0.005073747485730097
"[False, True, True]",12.0,7.359800721939872,0.5709949827238379,0.09015730521226435,1.2009695525572281,0.1555732499112307,0.72958064,0.01341663209131916
"[True, False, False]",12.0,7.359800721939872,0.9984552616121388,0.0023210940673863726,0.615839324067118,0.0055891473089949165,0.45535254,0.002950378133262383
"[True, False, True]",12.0,7.359800721939872,0.9942705226800986,0.004069382519617831,0.5766785353074371,0.0027847052480964767,0.9981801,0.0017486230360979256
"[True, True, False]",12.0,7.359800721939872,0.9986130807531336,0.002264004298745675,1.004486324836804,0.006835027092949046,0.45381778,0.002186296160476976
"[True, True, True]",12.0,7.359800721939872,0.9985947479225352,0.0019030085623804652,1.0023177080599242,0.004867645438554809,0.9968992,0.0021250443843388025
