seed,case,sample_size,duration
0,"[False, False, False]",10,4.105257511138916
0,"[False, False, True]",10,2.9238781929016113
0,"[False, True, False]",10,5.92116904258728
0,"[False, True, True]",10,5.29705810546875
0,"[True, False, False]",10,6.098330497741699
0,"[True, False, True]",10,4.943320989608765
0,"[True, True, False]",10,4.028866529464722
0,"[True, True, True]",10,3.0452871322631836
0,"[False, False, False]",100,4.42778468132019
0,"[False, False, True]",100,4.656167984008789
0,"[False, True, False]",100,6.798099756240845
0,"[False, True, True]",100,7.009718656539917
0,"[True, False, False]",100,6.79925799369812
0,"[True, False, True]",100,6.924003839492798
0,"[True, True, False]",100,4.504707098007202
0,"[True, True, True]",100,4.559713125228882
0,"[False, False, False]",1000,4.46877121925354
0,"[False, False, True]",1000,4.696581840515137
0,"[False, True, False]",1000,6.644758939743042
0,"[False, True, True]",1000,6.823857307434082
0,"[True, False, False]",1000,6.398727178573608
0,"[True, False, True]",1000,6.856943130493164
0,"[True, True, False]",1000,4.6116321086883545
0,"[True, True, True]",1000,4.567591428756714
0,"[False, False, False]",10000,4.616986274719238
0,"[False, False, True]",10000,5.463902711868286
0,"[False, True, False]",10000,6.515646934509277
0,"[False, True, True]",10000,6.993704319000244
0,"[True, False, False]",10000,6.650373697280884
0,"[True, False, True]",10000,6.764600515365601
0,"[True, True, False]",10000,2.9958977699279785
0,"[True, True, True]",10000,4.5082573890686035
0,"[False, False, False]",100000,13.794399499893188
0,"[False, False, True]",100000,9.219984769821167
0,"[False, True, False]",100000,9.284567594528198
0,"[False, True, True]",100000,13.750556230545044
0,"[True, False, False]",100000,10.29361867904663
0,"[True, False, True]",100000,10.343188762664795
0,"[True, True, False]",100000,8.515710592269897
0,"[True, True, True]",100000,8.498088359832764
1,"[False, False, False]",10,3.0410144329071045
1,"[False, False, True]",10,3.721553087234497
1,"[False, True, False]",10,5.112047433853149
1,"[False, True, True]",10,6.327501058578491
1,"[True, False, False]",10,5.0335187911987305
1,"[True, False, True]",10,6.059058427810669
1,"[True, True, False]",10,3.1025335788726807
1,"[True, True, True]",10,3.9746806621551514
1,"[False, False, False]",100,4.300602197647095
1,"[False, False, True]",100,4.593433618545532
1,"[False, True, False]",100,6.7871177196502686
1,"[False, True, True]",100,6.806787490844727
1,"[True, False, False]",100,6.871918439865112
1,"[True, False, True]",100,6.85372519493103
1,"[True, True, False]",100,4.5579938888549805
1,"[True, True, True]",100,4.552658796310425
1,"[False, False, False]",1000,4.526707410812378
1,"[False, False, True]",1000,4.55360746383667
1,"[False, True, False]",1000,6.8115246295928955
1,"[False, True, True]",1000,7.293671369552612
1,"[True, False, False]",1000,6.805001974105835
1,"[True, False, True]",1000,6.4288201332092285
1,"[True, True, False]",1000,4.527078151702881
1,"[True, True, True]",1000,4.5622124671936035
1,"[False, False, False]",10000,4.536538362503052
1,"[False, False, True]",10000,4.555864572525024
1,"[False, True, False]",10000,6.833481311798096
1,"[False, True, True]",10000,7.291845321655273
1,"[True, False, False]",10000,5.27933144569397
1,"[True, False, True]",10000,7.974779844284058
1,"[True, True, False]",10000,4.551579475402832
1,"[True, True, True]",10000,4.527728080749512
1,"[False, False, False]",100000,9.471068859100342
1,"[False, False, True]",100000,9.007871866226196
1,"[False, True, False]",100000,10.06191086769104
1,"[False, True, True]",100000,11.391979694366455
1,"[True, False, False]",100000,10.399070978164673
1,"[True, False, True]",100000,11.325145483016968
1,"[True, True, False]",100000,5.5087714195251465
1,"[True, True, True]",100000,8.11709189414978
2,"[False, False, False]",10,4.213521242141724
2,"[False, False, True]",10,3.076829433441162
2,"[False, True, False]",10,6.042194128036499
2,"[False, True, True]",10,5.203610897064209
2,"[True, False, False]",10,6.25332498550415
2,"[True, False, True]",10,5.356423616409302
2,"[True, True, False]",10,4.100430727005005
2,"[True, True, True]",10,4.262708425521851
2,"[False, False, False]",100,4.535561800003052
2,"[False, False, True]",100,4.564300537109375
2,"[False, True, False]",100,6.811949729919434
2,"[False, True, True]",100,6.811139822006226
